id,spec,X,Y,ar03,ar03.2
E02,athal,2.366672819,12.51714503,1899.333333,7597.333332
E03,athal,4.563777214,12.51714503,2128.918033,8515.672132
E06,athal,4.563777214,10.14224028,1123.885714,4495.542856
E04,athal,0,10.14224028,4733.7,18934.8
E07,athal,0,7.627635255,3250,13000
E08,athal,2.367284735,7.627635255,1922.086957,7688.347828
E11,athal,2.200367273,4.973329947,1883.513514,7534.054056
E12,athal,4.100291073,4.973329947,2209.875,8839.5
E15,athal,4.100291073,2.494284989,2716.875,10867.5
E13,athal,0,2.494284989,1241.6,4966.4
E16,athal,0,0,1042.2,4168.8
E17,athal,2.20980442,0,645.6470588,2582.588235