Source,Dispersal,Distance,DistanceMeters,PlantN
E02,D01,Close,0.241300483,181.9269157
E02,D02,Middle,0.993141986,371.7735363
E03,D02,Middle,0.822961646,269.9154646
E03,D03,Close,0.342900686,511.3905722
E03,D04,Close,0.33020066,1487.402703
E03,D05,Middle,1.092202184,889.2230251
E06,D05,Middle,0.901701803,639.1958524
E06,D06,Close,0.279400559,846.3919221
E02,D07,Far,1.676403353,210.8515077
E03,D07,Far,1.90500381,264.6874988
E06,D07,Far,1.27000254,130.007383
E04,D08,Far,1.676403353,199.6623623
E07,D08,Far,2.044704089,284.6016692
E08,D08,Far,1.219202438,114.8058941
E04,D09,Close,0.254000508,1035.96037
E04,D10,Middle,0.93980188,621.4514312
E07,D10,Middle,1.193802388,941.221226
E07,D11,Close,0.33020066,2566.969181
E07,D12,Close,0.30480061,431.826574
E07,D13,Middle,1.130302261,502.8418372
E08,D13,Middle,0.855981712,311.6830903
E08,D14,Close,0.259080518,421.0044904
E11,D15,Close,0.203200406,663.4477101
E11,D16,Middle,0.787401575,469.9213806
E12,D16,Middle,0.731521463,415.6925715
E12,D17,Close,0.185420371,1241.929509
E12,D18,Close,0.553721107,1692.120928
E12,D19,Middle,1.143002286,933.5585393
E15,D19,Middle,0.95504191,683.8350396
E15,D20,Close,0.233680467,2114.921782
E11,D21,Far,1.752603505,171.6064487
E12,D21,Far,1.981203962,213.613414
E15,D21,Far,1.333502667,106.3552091
E13,D22,Far,1.625603251,1760.991885
E16,D22,Far,2.052324105,2668.060239
E17,D22,Far,1.529083058,1581.47257
E13,D23,Close,0.279400559,690.5797695
E13,D24,Middle,1.163322327,755.1455441
E16,D24,Middle,0.9499619,531.452509
E16,D25,Close,0.233680467,324.8409274
E16,D26,Close,0.381000762,539.7832775
E16,D27,Middle,1.003302007,828.3057054
E17,D27,Middle,0.825501651,593.9829655
E17,D28,Close,0.215900432,449.6764738